STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-02,,,,,,-362.2,,0.65,,8.7,0.0,,28,23,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-03,,,,,,-328.7,,0.01,,0.5,7.0,,28,20,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-04,,,,,,-295.3,,0.00,,0.0,6.0,,21,8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-05,,,,,,-265.4,,0.00,,0.0,5.0,,26,2,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-06,,,,,,-247.2,,0.00,,0.0,4.0,,30,-1,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-07,,,,,,-229.1,,0.05,,0.8,3.0,,27,16,,,,,,,0.4,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-08,,,,,,-206.3,,0.00,,0.0,3.0,,32,6,,,,,,,0.4,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-09,,,,,,-184.6,,0.66,,9.2,6.0,,28,23,,,,,,,0.6,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-10,,,,,,-160.6,,0.00,,0.0,8.0,,36,24,,,,,,,0.9,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-11,,,,,,-154.7,,0.07,,1.0,3.0,,34,25,,,,,,,0.8,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-12,,,,,,-165.7,,0.00,,0.2,4.0,,31,16,,,,,,,0.9,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-13,,,,,,-165.7,,0.00,,0.0,2.0,,37,8,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-14,,,,,,-165.7,,0.00,,0.0,2.0,,42,13,,,,,,,0.3,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-15,,,,,,-157.1,,0.00,,0.0,1.0,,42,29,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-16,,,,,,-158.3,,0.19,,0.0,0.0,,44,34,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-17,,,,,,-175.2,,0.00,,0.0,0.0,,37,26,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-18,,,,,,-226.8,,0.00,,0.0,0.0,,43,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-19,,,,,,-272.4,,0.21,,2.5,0.0,,35,27,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-20,,,,,,-307.1,,0.00,,0.0,0.0,,40,26,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-21,,,,,,-326.4,,0.00,,0.0,0.0,,39,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-22,,,,,,-322.8,,0.00,,0.0,0.0,,40,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-23,,,,,,-311.8,,0.00,,0.0,0.0,,50,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-24,,,,,,-302.4,,0.00,,0.0,0.0,,47,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-25,,,,,,-296.5,,0.00,,0.0,0.0,,39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-26,,,,,,-286.6,,0.00,,0.0,0.0,,49,32,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-27,,,,,,-273.6,,0.00,,0.0,0.0,,77,32,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-28,,,,,,-266.5,,0.00,,0.0,0.0,,85,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-29,,,,,,-270.1,,0.03,,0.0,0.0,,79,58,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-30,,,,,,-290.6,,0.50,,0.0,0.0,,63,44,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-03-31,,,,,,-328.7,,0.05,,0.0,0.0,,48,42,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-01,,,,,,-374.4,,0.00,,0.0,0.0,,77,45,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-02,,,,,,-417.7,,0.03,,0.0,0.0,,67,54,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-03,,,,,,-461.8,,0.27,,0.0,0.0,,57,45,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-04,,,,,,-494.5,,0.00,,0.0,0.0,,63,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-05,,,,,,-516.1,,0.03,,0.0,0.0,,52,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-06,,,,,,-530.3,,0.00,,0.0,0.0,,73,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-07,,,,,,-535.0,,0.00,,0.0,0.0,,66,44,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-08,,,,,,-536.2,,0.00,,0.0,0.0,,64,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-09,,,,,,-537.8,,0.00,,0.0,0.0,,43,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-10,,,,,,-535.0,,0.00,,0.0,0.0,,53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-11,,,,,,-529.1,,0.00,,0.0,0.0,,72,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-12,,,,,,-517.3,,0.00,,0.0,0.0,,81,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-13,,,,,,-492.1,,0.00,,0.0,0.0,,85,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-14,,,,,,-459.4,,0.00,,0.0,0.0,,84,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-15,,,,,,-421.3,,0.03,,0.0,0.0,,78,62,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-16,,,,,,-379.1,,0.00,,0.0,0.0,,86,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-17,,,,,,-340.9,,0.00,,0.0,0.0,,78,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-18,,,,,,-297.6,,0.00,,0.0,0.0,,62,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-19,,,,,,-244.9,,0.00,,0.0,0.0,,70,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-20,,,,,,-209.8,,0.00,,0.0,0.0,,85,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-21,,,,,,-188.6,,0.42,,0.0,0.0,,73,56,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-22,,,,,,-181.1,,0.00,,0.0,0.0,,88,51,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-23,,,,,,-172.8,,0.00,,0.0,0.0,,91,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-24,,,,,,-158.3,,0.00,,0.0,0.0,,91,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-25,,,,,,-155.9,,0.02,,0.0,0.0,,87,65,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-26,,,,,,-151.2,,0.06,,0.0,0.0,,75,55,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-27,,,,,,-151.2,,0.00,,0.0,0.0,,74,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-28,,,,,,-140.6,,0.00,,0.0,0.0,,74,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-04-29,,,,,,-140.6,,0.15,,0.0,0.0,,70,49,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
